id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,,,,,,
746214,Great room in Oporto's centre WIFI,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,,2,45,2019-05-02,0.31,6,0,AL 52876,,,,,,
748133,HEART OF THE CITY - SPACIOUS FLAT,3928878,Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1478,-8.61334,Entire home/apt,50,2,317,2020-08-15,2.38,1,0,49892/AL,,,,,,
749496,Alegria Rubi: Urban Oasis with Garden,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Entire home/apt,307,3,227,2024-11-03,1.55,6,156,AL 52876,,,,,,
753560,Suite Privativa com Casa de Banho Privativa,3963937,Hostel,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1340125,-8.6115398,Private room,50,1,1,2024-03-10,0.11,2,354,19560/AL,,,,,,
758709,Basic Studio With Top Location and View . Carmo 1,3944088,Estudios,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14626,-8.61803,Entire home/apt,40,2,430,2024-12-10,2.95,7,290,19269/AL,,,,,,
759702,Basic Studio With Top Location . Carmo 2,3944088,Estudios,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14655,-8.61661,Entire home/apt,37,2,237,2024-12-03,1.62,7,355,19288/AL,,,,,,
764471,"City center, Free Parking, fantastic view",4030159,Dalila,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14605,-8.60366,Entire home/apt,50,2,683,2024-12-03,4.65,1,233,132540/AL,,,,,,
769605,Studio in  Porto,3163699,Sónia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14323,-8.60675,Entire home/apt,65,3,73,2024-10-13,0.56,2,265,,,,,,,
780430,"ExtendALL, PORTO Studio 1",4115877,Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14185,-8.61792,Entire home/apt,90,2,21,2021-12-05,0.15,3,244,52937/AL,,,,,,
780538,"ExtendALL, PORTO Loft",4115877,Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14167,-8.61951,Entire home/apt,125,2,57,2024-11-08,0.39,3,347,52937/AL,,,,,,
781542,Loft in Foz do Douro,4122318,Mafalda,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15019,-8.67293,Entire home/apt,70,3,1,2013-01-02,0.01,1,345,,,,,,,
786791,Aposentus - Lapa Downtown,179432438,Aposentus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15821,-8.6124,Entire home/apt,40,3,152,2024-11-23,1.04,55,365,9049/AL,,,,,,
819535,Clérigos Room | Historic Centre,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14576,-8.61271,Private room,59,3,956,2024-12-12,6.57,8,353,28177/AL,,,,,,
827208,Sailing boat at the beach,4338551,Aude,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1868,-8.70497,Entire home/apt,74,2,25,2024-08-28,0.18,1,362,228/AL,,,,,,
829780,Casa do Paúl - Confort &Nature in peaceful village,4346713,Dulce,AROUCA,Canelas e Espiunca,40.99082,-8.21403,Entire home/apt,185,2,62,2024-08-23,0.45,2,360,3515,,,,,,
852698,Alegria Rubi: Urban Oasis with 2 rooms and garden,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14722,-8.60383,Entire home/apt,156,2,6,2018-08-18,0.04,6,66,AL 52876,,,,,,
860418,Guest-House in Trindade - Center,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15604,-8.60933,Private room,25,6,141,2024-05-13,1.02,4,263,49685/AL,,,,,,
863923,Near the City Park and the sea,1573706,Maria Julieta,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.16955,-8.6636,Private room,50,3,208,2024-10-23,1.46,1,267,15720/AL,,,,,,
